company,address,longitude,latitude,latlong,longlat,zipcode,town,state,date_founded,date_closed,company_type,source,name_changed,year_name_changed,notes,see also
Lockheed Missile and Space Co,"1111 Lockheed Way, Sunnyvale, CA",,,", ",", ",,,,,,,1964 Sunnyvale City Directory,,,,
Lucky Thirteen Electronics,"682 N. 13th Street, San Jose, CA",-121.8873428,37.35462574,"-121.88734277644, 37.3546257418679","37.3546257418679, -121.88734277644",,,,,,,1966 San Jose City Directory,,,,
LYNCH CIRCUITS INC.,41588 W. EVELYN AVE.,-122.052359,37.38557,"-122.052359, 37.38557","37.38557, -122.052359",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
MACHINE TECHNOLOGY WEST INC.,3350 SCOTT BLVD . #1503,-121.983924,37.380462,"-121.983924, 37.380462","37.380462, -121.983924",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Mack's Electronics,"223 E. Maude Ave, Sunnyvale, CA",-122.0243533,37.38777483,"-122.024353302847, 37.3877748294027","37.3877748294027, -122.024353302847",,,,,,,1966 Sunnyvale City Directory,,,,
Magnetic Industries Inc,"931 Commercial, Palo Alto, CA",-122.1004541,37.4233959,"-122.1004541, 37.4233959","37.4233959, -122.1004541",,Palo Alto,California,,,,,,,,
Magnetics Inc,"5043 Graves Ave, San Jose, CA",-121.9903204,37.29431354,"-121.990320376634, 37.2943135354929","37.2943135354929, -121.990320376634",,,,,,,1970 San Jose City Directory,,,,
MAGNEX CORP.,6541 VIA DEL ORO,-121.786026,37.236653,"-121.786026, 37.236653","37.236653, -121.786026",95119,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
MAGNEX CORP.,6541 VIA DEL ORO,-121.786026,37.236653,"-121.786026, 37.236653","37.236653, -121.786026",95119,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Management Data Controls,"2156 The Alameda, San Jose, CA",-121.9303639,37.34408974,"-121.930363862614, 37.3440897396151","37.3440897396151, -121.930363862614",,,,,,,1969 San Jose City Directory,,,,
Mandrel Industries Inc,"800 Welch Road, Palo Alto, CA",-122.1772634,37.437235,"-122.177263446286, 37.437235","37.437235, -122.177263446286",,Palo Alto,California,,,,,,,,
Mardix ,"2115 El Camino Real, Palo Alto, CA",-122.1714662,37.4467864,"-122.1714662, 37.4467864","37.4467864, -122.1714662",,Palo Alto,California,,,,,,,,
Marine Electronics,"720 La Para, Palo Alto, CA",-122.1323506,37.4130555,"-122.1323506, 37.4130555","37.4130555, -122.1323506",,Palo Alto,California,,,,,,,,
Mark Systems ,"465 S. Mathilda Ave, Sunnyvale, CA",-122.0361529,37.37238372,"-122.03615292, 37.37238372","37.37238372, -122.03615292",,,,,,,1968 Sunnyvale City Directory,,,,
Master Dynamics Division of Master Specialties Co,"165 San Lazaro Ave, Sunnyvale, CA",-122.0120556,37.37687104,"-122.0120556, 37.37687104","37.37687104, -122.0120556",,,,,,,1964 Sunnyvale City Directory,,,,
Master Wholesale Electronics,"136 Hamilton, Palo Alto, CA",-122.1622175,37.44303746,"-122.162217503035, 37.4430374565938","37.4430374565938, -122.162217503035",,Palo Alto,California,,,,,,,,
Mathis Instrument Co,959 San Jose Los Gatos Road,,,", ",", ",,,,,,,1961 San Jose City Directory,,,,
Max-Lor Manufacturing,"1775 S. 1st, San Jose, CA",,,", ",", ",,,,,,,1963 San Jose City Directory,,,,
Mayer Frank Engineering Co,"1038 W. Elvyn Ave, Sunnyvale, CA",,,", ",", ",,,,,,,1966 Sunnyvale City Directory,,,,
McCormick-Selph,"538 Phelan Ave, San Jose, CA",-121.8597273,37.31740966,"-121.859727273249, 37.3174096577017","37.3174096577017, -121.859727273249",,,,,,,1964 San Jose City Directory,,,,
McDonnell Douglas Elect. Corp.,1057 Meadow Circle,-122.109,37.431,"-122.109, 37.431","37.431, -122.109",94303,Palo Alto,California,,,,Rich's Complete Guide to Silicon Valley,,,,
McDonnell Douglas Elect. Corp.,1057 E. Meadow Circle,-122.109471,37.431188,"-122.109471, 37.431188","37.431188, -122.109471",94303,Palo Alto,California,,,,Rich's Complete Guide to Silicon Valley,,,,
McGraw-Edison Co,"936 Commercial, Palo Alto, CA",-122.0997039,37.423457,"-122.099703912146, 37.423457","37.423457, -122.099703912146",,Palo Alto,California,,,,,,,,
MEGATEST INC.,3940 FREEDOM CIRCLE,-121.97068,37.38597,"-121.97068, 37.38597","37.38597, -121.97068",95054,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Melabs,"3300 Hillview, Palo Alto, CA",-122.145866,37.4068925,"-122.145865975574, 37.4068925","37.4068925, -122.145865975574",,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
Mellonics Systems Development Inc,"505 W. Olive Ave, Sunnyvale, CA",-122.0381792,37.3724441,"-122.0381792, 37.3724441","37.3724441, -122.0381792",,,,,,,1964 Sunnyvale City Directory,,,,
Memorex Corp,"1180 Shulman Ave, Santa Clara, CA",-121.9510522,37.36282868,"-121.951052247972, 37.3628286780937","37.3628286780937, -121.951052247972",,,,,,,1962 San Jose City Directory,,,,
MEMOREX CORP.,18922 FORGE DR.,-122.003261,37.335852,"-122.003261, 37.335852","37.335852, -122.003261",95014,Cupertino,California,,,,Rich's Complete Guide to Silicon Valley,,,,
MEMOREX CORP.,1040 DI GULLO AVE.,-121.948812,37.345983,"-121.948812, 37.345983","37.345983, -121.948812",95050,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
MEMOREX CORP.,1200 MEMOREX DR. (95052),-121.954093,37.362532,"-121.954093, 37.362532","37.362532, -121.954093",95050,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
MEMOREX CORP.,1200 MEMOREX DR. (95052),-121.954093,37.362532,"-121.954093, 37.362532","37.362532, -121.954093",95050,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
MEMOREX CORP.,1200 MEMOREX DR . (95052),-121.954093,37.362532,"-121.954093, 37.362532","37.362532, -121.954093",95050,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
MEMOREX CORP.,2054 MARTIN AVE,-121.960833,37.366247,"-121.960833, 37.366247","37.366247, -121.960833",95050,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
MEMOREX CORP.,2800 BOWERS AVE.,-121.977402,37.372108,"-121.977402, 37.372108","37.372108, -121.977402",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
MEMORY DISC MFG.,4255 BURTON DR.,-121.96275,37.389867,"-121.96275, 37.389867","37.389867, -121.96275",95050,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Menlo Research Laboratories,"595 Mathilda Ave, Sunnyvale, CA",-122.0344431,37.3795999,"-122.0344431, 37.3795999","37.3795999, -122.0344431",,,,,,,1964 Sunnyvale City Directory,,,,
Merlin Engineering WOrks,"1880 Embarcadero Road, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Micro Magnetic Industry,"180 Walter Hays, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,,,,,,
MICRO POWER SYSTEMS,3100 ALFRED ST.,-121.958607,37.378248,"-121.958607, 37.378248","37.378248, -121.958607",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Microwave Electronics Corp,"4061 Transport, Palo Alto, CA",-122.098839,37.4250419,"-122.098839, 37.4250419","37.4250419, -122.098839",,Palo Alto,California,,,,,,,,
Mighty-Mite Computer Systems,"3100 Meridian Ave, San Jose, CA",-121.905129,37.269353,"-121.905129, 37.269353","37.269353, -121.905129",,,,,,,1976 San Jose City Directory,,,,
Miller's Electronic Supply Inc,"785 S. 1st, San Jose, CA",,,", ",", ",,,,,,,1961 San Jose City Directory,,,,
Mobile Calibration Laboratory,"1053 Franklin, Santa Clara, CA",-121.9483599,37.34847108,"-121.948359946706, 37.3484710849096","37.3484710849096, -121.948359946706",,,,,,,1962 San Jose City Directory,,,,
Moffett Naval Air Station  ,"158 Cody Rd, Mountain View, CA",,,", ",", ",,Mountain View,California,,,,,,,,
MONOLITHIC MEMORIES,1165 ARQUES AVE.,-121.997864,37.380498,"-121.997864, 37.380498","37.380498, -121.997864",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
MONOSIL,975 COMSTOCK ST.,-121.951259,37.37483,"-121.951259, 37.37483","37.37483, -121.951259",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
MOORE SYSTEMS INC.,1730 TECHNOLOGY DR.,-121.917374,37.365735,"-121.917374, 37.365735","37.365735, -121.917374",95110,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
MOORE SYSTEMS INC.,1730 TECHNOLOGY DR.,-121.917374,37.365735,"-121.917374, 37.365735","37.365735, -121.917374",95110,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
MOSTEK CORP.,1762 TECHNOLOGY DR. #126,-121.919839,37.369073,"-121.919839, 37.369073","37.369073, -121.919839",95110,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
MOSTEK CORP.,1762 TECHNOLOGY DR. #126,-121.919839,37.369073,"-121.919839, 37.369073","37.369073, -121.919839",95110,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
MOTHER LODE,155 MILLER AVE.,-122.013349,37.31422,"-122.013349, 37.31422","37.31422, -122.013349",95014,Cupertino,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Motorola Communications and Electronics,"460 Park Ave, San Jose, CA",-121.898011,37.327935,"-121.898011, 37.327935","37.327935, -121.898011",,,,,,,1968 San Jose City Directory,,,,
N.C.A. CORP.,1263 OAKMEAD PARKWAY,-121.991082,37.386878,"-121.991082, 37.386878","37.386878, -121.991082",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
National Advanced Systems,140 Caribbean Dr.,-122.017877,37.417186,"-122.017877, 37.417186","37.417186, -122.017877",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
NATIONAL CSS INC.,1333 LAWRENCE EXP. #350,-121.995899,37.349318,"-121.995899, 37.349318","37.349318, -121.995899",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
National Missile & Electronics Inc,"2120 Ronald, Santa Clara, CA",-121.952033,37.36180908,"-121.952033045227, 37.3618090830174","37.3618090830174, -121.952033045227",,Santa Clara,,,,,1960 San Jose City Directory,,,,
National Research & Chemical,"152 Commercial Street, Sunnyvale, CA",-122.008329,37.3754297,"-122.008329, 37.3754297","37.3754297, -122.008329",,,,,,,1968 Sunnyvale City Directory,,,,
National Research Corporation,"941 Charleston Road, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,,,,,,
National Semiconductor Corp.,1050 DUANE AVE.,-121.952363,37.378557,"-121.952363, 37.378557","37.378557, -121.952363",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
National Semiconductor Corp.,"201 Town & Country Village, Palo Alto, CA",1.8774979,7.7227067,"1.8774979, 7.7227067","7.7227067, 1.8774979",,,California,,,,,,,,
NEC Electronics,"501 Ellis St, Mountain View, CA",-122.0519831,37.40114078,"-122.051983055367, 37.4011407785331","37.4011407785331, -122.051983055367",,Mountain View,California,,,,,,,,
Neci-Nuclear Engineering and Components Inc,"1501 Terminal Ave, San Jose, CA",-121.9061115,37.36831319,"-121.90611148811, 37.3683131921177","37.3683131921177, -121.90611148811",,,,,,,1971 San Jose City Directory,,,,
Newell Associates Inc,"155 San Lazaro Ave, Sunnyvale, CA",-122.0120596,37.37685164,"-122.0120596, 37.37685164","37.37685164, -122.0120596",,,,,,,1964 Sunnyvale City Directory,,,,
Nickerson-Gray & Associates Inc,"2434 Park Blvd, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,,,,,,
Non-Linear Systems Inc,"2858 Stevens Creek Road, San Jose, CA",,,", ",", ",,,,,,,1964 San Jose City Directory,,,,
NORTHERN TELECOM INC.,2305 MISSION COLLEGE BLV.,-121.935679,37.34357,"-121.935679, 37.34357","37.34357, -121.935679",95050,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
NORTHERN TELECOM INC.,4101 BURTON DR.,-121.961979,37.391322,"-121.961979, 37.391322","37.391322, -121.961979",95050,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Ogden Technology Laboratories Inc,"150 N. Wolfe Road, Sunnyvale, CA",-122.0133724,37.3759313,"-122.0133724, 37.3759313","37.3759313, -122.0133724",,,,,,,1968 Sunnyvale City Directory,,,,
Optic Research Engineering Co,"455 Meridian Road, San Jose, CA",,,", ",", ",,,,,,,1960 San Jose City Directory,,,,
Osborne Electronics Sales Corp,"535 Middlefield Road, Palo Alto, CA",-122.1362592,37.4377862,"-122.1362592, 37.4377862","37.4377862, -122.1362592",,Palo Alto,California,,,,,,,,
Pacific Capacitor,"419 Perrymount Ave, San Jose, CA",,,", ",", ",,,,,,,1969 San Jose City Directory,,,,
Pacific Electro-Magnetic Co,"940 Commercial, Palo Alto, CA",-122.0997117,37.4235725,"-122.0997117, 37.4235725","37.4235725, -122.0997117",,Palo Alto,,,,,,,,,
Pacific International Electronics Inc,"535 Ramona, Palo Alto, CA",-122.1615312,37.4449789,"-122.1615312, 37.4449789","37.4449789, -122.1615312",,Palo Alto,,,,,,,,,
Pacific Microwave,"427 Perrymont Ave, San Jose, CA",-121.8720968,37.29882158,"-121.872096794241, 37.2988215761301","37.2988215761301, -121.872096794241",,,,,,,1968 San Jose City Directory,,,,
Pacific Surplus Electronic Sales,"190 W. Santa Clara, San Jose, CA",,,", ",", ",,,,,,,1964 San Jose City Directory,,,,
Pacific Wholesale,"603 Almaden Ave, San Jose, CA",-121.8785452,37.3139879,"-121.8785452, 37.3139879","37.3139879, -121.8785452",,,,,,,1960 San Jose City Directory,,,,
Packard-Bell Electronic Supply,"2374 Stevens Creek Road, San Jose, CA",,,", ",", ",,,,,,,1960 San Jose City Directory,,,,
Palo Alto Engineering Co,"620 Page Mill Road, Palo Alto, CA",-122.1453646,37.4221802,"-122.1453646, 37.4221802","37.4221802, -122.1453646",,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
Palomar Scientific Corp,"4039 Transport, Palo Alto, CA",-122.0994887,37.4256912,"-122.0994887, 37.4256912","37.4256912, -122.0994887",,Palo Alto,,,,,,,,,
Parkard Bell Electronics,"1516 N. 4th, San Jose, CA",,,", ",", ",,,,,,,1965 San Jose City Directory,,,,
Pearson Electronics Inc,"707 Urban, Palo Alto, CA",-122.1616491,37.44110335,"-122.161649106516, 37.4411033472099","37.4411033472099, -122.161649106516",,Palo Alto,,,,,,,,,
PEK Laboratories Inc,"825 Evelyn Ave, Sunnyvale, CA",,,", ",", ",,,,,,,1964 Sunnyvale City Directory,,,,
Pek Labs,"4024 Transport, Palo Alto, CA",-122.1004421,37.4255328,"-122.1004421, 37.4255328","37.4255328, -122.1004421",,Palo Alto,,,,,,,,,
Peninsula Computer Center,"1671 The Alameda, San Jose, CA",-121.9184602,37.33679246,"-121.918460215407, 37.3367924587828","37.3367924587828, -121.918460215407",,,,,,,1964 San Jose City Directory,,,,
Peninsula Electronic Supply,"3860 El Camino Real, Palo Alto, CA",-122.1714662,37.4467864,"-122.1714662, 37.4467864","37.4467864, -122.1714662",,Palo Alto,,,,,,,,,
Peninsula Electronic SUpply,"656 S. 1st, San Jose, CA",,,", ",", ",,,,,,,1960 San Jose City Directory,,,,
Perkin-Elmer,411 Clyde Ave,-122.047161,37.396365,"-122.047161, 37.396365","37.396365, -122.047161",94043,Mountain View,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Perkin-Elmer,2288 Charleston Rd.,-122.095233,37.421481,"-122.095233, 37.421481","37.421481, -122.095233",94043,Mountain View,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Perlmuth Electronic Associates,"941 Charleston Road, Palo Alto, CA",,,", ",", ",,Palo Alto,,,,,,,,,
Philco Corp,"3875 Fabian Way, Palo Alto, CA",-122.1024576,37.4256845,"-122.102457572274, 37.4256845","37.4256845, -122.102457572274",,Palo Alto,,,,,,,,,
Phototron Co,"524 E. Brokaw Road, San Jose, CA",-121.908979,37.379965,"-121.908979, 37.379965","37.379965, -121.908979",,,,,,,1971 San Jose City Directory,,,,
Pic. Tel. & Tel. Co.,"850 Hansen Way, Palo Alto, CA",-122.1406576,37.41860795,"-122.14065763713, 37.41860795","37.41860795, -122.14065763713",,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
Pinnacles Electronics,"1900 McBain Ave, San Jose, CA",,,", ",", ",,,,,,,1962 San Jose City Directory,,,,
PLATEAU 7,777 N. 1 ST ST.,-121.884247,37.324059,"-121.884247, 37.324059","37.324059, -121.884247",95126,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
POLY MOLD TOOL & ENGR.,193 COMMERCIAL ST.,-122.008472,37.376027,"-122.008472, 37.376027","37.376027, -122.008472",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Power Designs Pacifics Inc.,3381 Miranda Ave.,-122.146485,37.404744,"-122.146485, 37.404744","37.404744, -122.146485",94304,Palo Alto,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Preformed Line Products Co,"600 Hansen Way, Palo Alto, CA",-122.1394361,37.4201235,"-122.139436074612, 37.4201235","37.4201235, -122.139436074612",,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
Prime Data,"4040 Moorpark Ave, San Jose, CA",-121.9726625,37.31579801,"-121.972662451541, 37.3157980128616","37.3157980128616, -121.972662451541",,,,,,,1976 San Jose City Directory,,,,
PRINTEX CORP.,2501 WALSH AVE.,-121.973723,37.371288,"-121.973723, 37.371288","37.371288, -121.973723",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Pulse Engineering Inc,"560 Roberts Ave, Santa Clara, CA",-121.8663969,36.602763,"-121.8663969, 36.602763","36.602763, -121.8663969",,Santa Clara,,,,,1960 San Jose City Directory,,,,
PURPLE HEARTS VETERANS REHAB.,735 COLEMAN AVE.(95110),-121.91185,37.343191,"-121.91185, 37.343191","37.343191, -121.91185",95110,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
PURPLE HEARTS VETERANS REHAB.,735 COLEMAN AVE.(95110),-121.91185,37.343191,"-121.91185, 37.343191","37.343191, -121.91185",95110,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Qual-Tronix,"1021 Earle Ave, San Jose, CA",-121.9084051,37.32282326,"-121.908405130344, 37.322823263524","37.322823263524, -121.908405130344",,,,,,,1968 San Jose City Directory,,,,
Quality Transformer and Electronics,"701 Kings Row, San Jose, CA",-121.8995607,37.37177815,"-121.899560663601, 37.3717781462156","37.3717781462156, -121.899560663601",,,,,,,1971 San Jose City Directory,,,,
Quement Dealer Electronics,"170 W. San Fernando, San Jose, CA",,,", ",", ",,,,,,,1960 San Jose City Directory,,,,
Quement Industrial Electronics,"161 W. San Fernando, San Jose, CA",,,", ",", ",,,,,,,1960 San Jose City Directory,,,,
Quindar Electronics,"1741 Saratoga Ave, San Jose, CA",-121.9939109,37.29019292,"-121.993910909885, 37.2901929185788","37.2901929185788, -121.993910909885",,,,,,,1970 San Jose City Directory,,,,
R S Electronic Corp,"435 Portage Ave, Palo Alto, CA",-122.1373907,37.421843,"-122.137390733413, 37.421843","37.421843, -122.137390733413",,Palo Alto,,,,,,,,,
R S Electronic Corp Division of Pacific Industries Inc,"795 Kifer Road, Sunnyvale, CA",-121.996911,37.3738569,"-121.996911, 37.3738569","37.3738569, -121.996911",,,,,,,1964 Sunnyvale City Directory,,,,
Ra-Tel Industrial Co,"3395 El Camino Real, Santa Clara, CA",-122.1711496,37.446557,"-122.1711496, 37.446557","37.446557, -122.1711496",,,,,,,1962 San Jose City Directory,,,,
RACAL-VADIC INC.,785 N. MARY AVE .,-122.035577,37.397359,"-122.035577, 37.397359","37.397359, -122.035577",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Radiation Power Systems,"840 Charcot Ave, San Jose, CA",-121.9095716,37.38564787,"-121.909571635177, 37.3856478679118","37.3856478679118, -121.909571635177",,,,,,,1979 San Jose City Directory,,,,
RAPICOM,3001 ORCHARD PKWY.,-121.937463,37.392214,"-121.937463, 37.392214","37.392214, -121.937463",95134,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
RAPICOM INC.,2972 STENDER SY.,-121.983486,37.346526,"-121.983486, 37.346526","37.346526, -121.983486",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
RAYTEK INC.,1201 SHAFFER RD.,-121.982566,37.230053,"-121.982566, 37.230053","37.230053, -121.982566",95030,Los Gatos,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Raytheon,350 Ellis St.,-122.07431,37.38802,"-122.07431, 37.38802","37.38802, -122.07431",94042,Mountain View,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Raytheon,415 E. Middlefield Rd.,-122.056092,37.396411,"-122.056092, 37.396411","37.396411, -122.056092",94043,Mountain View,California,,,,Rich's Complete Guide to Silicon Valley,,,,
RAYTHEON,2540 MISSION COLLEGE BLV.,-121.935679,37.34357,"-121.935679, 37.34357","37.34357, -121.935679",95050,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Raytheon Co.,"350 Ellis St, Mountain View, CA",-122.0534536,37.39709441,"-122.05345359047, 37.397094409359","37.397094409359, -122.05345359047",,Mountain View,California,,,,,,,,
Remote Computer Service,"3031 Tisch Way, San Jose, CA",-121.9479986,37.31710132,"-121.947998586688, 37.317101324507","37.317101324507, -121.947998586688",,,,,,,1973 San Jose City Directory,,,,
Research Devices Inc,"1244 Birchwood Drive, Sunnyvale, CA",-121.9923863,37.40464626,"-121.992386309401, 37.4046462555772","37.4046462555772, -121.992386309401",,,,,,,1964 Sunnyvale City Directory,,,,
Research Laboratories,"1274 Almaden, San Jose, CA",-121.8617567,37.2216072,"-121.8617567, 37.2216072","37.2216072, -121.8617567",,,,,,,1960 San Jose City Directory,,,,
RGM Sys.,1250 Borregas Ave.,-122.018874,37.40903,"-122.018874, 37.40903","37.40903, -122.018874",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Rich Industries,"3302 Duke Center, Santa Clara, CA",,,", ",", ",,,,,,,1964 San Jose City Directory,,,,
RICOH OF AMERICA,2972 STENDER WY.,-121.97018,37.376405,"-121.97018, 37.376405","37.376405, -121.97018",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Rixon Inc,"586 N. 1st, San Jose, CA",,,", ",", ",,,,,,,1976 San Jose City Directory,,,,
Rodda Co Inc,"1005 Martin Ave, San Jose, CA",-121.914667,37.3299447,"-121.914667, 37.3299447","37.3299447, -121.914667",,,,,,,1964 San Jose City Directory,,,,
ROLM CORP.,1 RIVER OAKS PLACE,-121.941346,37.401171,"-121.941346, 37.401171","37.401171, -121.941346",95134,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Romic Chemical Corp.,"2081 Bay Rd, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,,,,,,
Rosicrucian Planetarium,"1698 Park Ave, San Jose, CA",-121.923871,37.333922,"-121.923871, 37.333922","37.333922, -121.923871",,,,,,,1960 San Jose City Directory,,,,
Ruby Sales Corp,"1247 Topas Ave, San Jose, CA",,,", ",", ",,,,,,,1962 San Jose City Directory,,,,
S.R.D. LABS INC.,381 McGLINCEY LANE,-121.942492,37.276481,"-121.942492, 37.276481","37.276481, -121.942492",95008,Campbell,California,,,,Rich's Complete Guide to Silicon Valley,,,,
San Jose Instrument Service,"401 Newhall, San Jose, CA",-121.920169,37.349532,"-121.920169, 37.349532","37.349532, -121.920169",,,,,,,1960 San Jose City Directory,,,,
San Jose Scientific Co Inc,"421 Lano St, San Jose, CA",-121.8777817,37.30567687,"-121.877781696316, 37.3056768691226","37.3056768691226, -121.877781696316",,,,,,,1973 San Jose City Directory,,,,
SANDPIPER,21255 STEVENS CREEK BLVD,-122.046197,37.322948,"-122.046197, 37.322948","37.322948, -122.046197",95014,Cupertino,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Scantlin Electronics,"3381 Stevens Creek Blvd, San Jose, CA",-121.9423322,37.3232601,"-121.9423322, 37.3232601","37.3232601, -121.9423322",,,,,,,1969 San Jose City Directory,,,,
Schad Electronic Supply,"499 S. Market, San Jose, CA",,,", ",", ",,,,,,,1960 San Jose City Directory,,,,
Scientific Data Systems,"505 W. Olive Ave, Sunnyvale, CA",-122.0381792,37.3724441,"-122.0381792, 37.3724441","37.3724441, -122.0381792",,,,,,,1966 Sunnyvale City Directory,,,,
Scientific Instrument Co,"632 S. Knickerbocker Road, Sunnyvale, CA",,,", ",", ",,,,,,,1964 Sunnyvale City Directory,,,,
Scientific Time Sharing Corp,"1190 S. Bascom Ave, San Jose, CA",-121.9316295,37.30440367,"-121.931629451805, 37.3044036654225","37.3044036654225, -121.931629451805",,,,,,,1977 San Jose City Directory,,,,
"Scott, Foresman & Co.","655 California Ave, Palo Alto, CA",-122.1430031,37.4285379,"-122.1430031, 37.4285379","37.4285379, -122.1430031",,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
Seiko Circuits Inc.,415 Clyde Ave,-122.047132,37.39645,"-122.047132, 37.39645","37.39645, -122.047132",94043,Mountain View,California,,,,Rich's Complete Guide to Silicon Valley,,,,
SEIKO CIRCUITS INC.,415 CLYDE AVE .,-122.047132,37.39645,"-122.047132, 37.39645","37.39645, -122.047132",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Seven Associates Inc,"568 San Xavier Ave, Sunnyvale, CA",,,", ",", ",,,,,,,1964 Sunnyvale City Directory,,,,
Shigma Inc.,1400 Stierlin Rd.,-122.078119,37.40955,"-122.078119, 37.40955","37.40955, -122.078119",94043,Mountain View,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Shockley Transistor,"1117 California Ave, Palo Alto, CA",-122.1490237,37.42035945,"-122.149023672821, 37.42035945","37.42035945, -122.149023672821",,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
SIERRACIN,3010 OLCOTT ST.,-121.96733,37.376503,"-121.96733, 37.376503","37.376503, -121.96733",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Sigmatics,"1275 Lincoln Ave, San Jose, CA",-121.8991977,37.30565721,"-121.89919770085, 37.3056572131786","37.3056572131786, -121.89919770085",,,,,,,1969 San Jose City Directory,,,,
Signetics Corp,"680 W. Maude Ave, Sunnyvale, CA",-122.0328387,37.39039904,"-122.032838699238, 37.3903990400108","37.3903990400108, -122.032838699238",,,,,,,1964 Sunnyvale City Directory,,,,
SIGNETICS CORP.,730 E. EVELYN AVE.,-122.016596,37.371681,"-122.016596, 37.371681","37.371681, -122.016596",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
SIGNETICS CORP.,860 KIFER RD.,-122.010624,37.374593,"-122.010624, 37.374593","37.374593, -122.010624",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
